english	dagbani
she	a
where is the working.	a baa yi zɔra, a bi mal’ o kariti wɔbiri
a bithy-two	a bi ku buchi shɛli
thirteen’s billa	a kariti dolila buduli zaɣ’ bila
a keep the working has gone.	a ku lan wali wala hal abada
you are eating a ku tooi buwiardir’ o thirty-nine	a paɣ’ yi viɛla a ku tooi buɣir’ o ginda wuhiri niriba
a worm	a zumi
abada	abada
grace	abarika
disgust	abba
abba, children	abba, chɛl vuri
goat	abe
call	abe·tia
call they	abie tihi
abinfuura	abinfuura
territorium	abirima
call	aboboi
expectation	abuya
disgust	abda
unless	afua
forty-four	afirima
children	achiri
children	achiika
children	achiikatim
eighty-seven	achiikatim yɛlimaŋli
deceiver	adaka
dancing	adaalisi
deceiver	adaam
dancing	adaashi
data	adata
eighty	adiiku
eighty-two	adiiku tital’ la
evidence	adiko
tradition	adiini
forty-seven	adiini baŋsim
forty-two	adiini chuɣu
eighty-two	adiini churi
eighty-four	adiini karimba
eighty-one	adiini yila
goat	adua
they has gone.	adua mi o lana
where	ah
we have gone.	al juma’ ah
children	alahachi
let's go	alahichi
cloud	alama
unity	aligayade
elicali	alikali
verything	alichiyama
religion	aligumaana
everything	aliŋgurima
aliwall	aliwalla
call me	aliwumma
friendship	aliwuriti
evidence	alizama
alizanda	alizanda
eighty-seven	alizanda soli bili mɔri, wuntizɔriba n-kani
ninety-seven	alizimbiɛɣu
ninety-seven	alizin'biɛɣu
persuade	alizin'suŋ
evidence	alizini
eighty-four	alizini boora/je
alizumba	alizumba
evidence	alizimma
crying	aljanna
callfour	aleefo
seventy	amiinsi
eighty-three	anabi issa daaliwumma
thirteen	asansalana
unity	ashili
call	ashilo
whirl	ashiya
we have gone.	ataa, yɛlimaŋli
thread	atam
eighty-seven	atuʒiɛɣu
eighty	ayigali
six	ayɔbu
seventy	ayɔpɔin
where	ba
dogs	baai
call	baalim
call	baligi
call	balim
persuade	balima
goat	bam
thread	bandi
call	baŋ
crying	baŋa
thirteen	baŋkalansilinli
dogs	baŋkom
ninety-eight	baŋkaŋ yihiri bɔ naɣilaa lan'ni
button toon	baɣa tooi buɣira
thirteen	baɣayuli
conversation	baɣibuɣibo
thirteen	baɣibuɣira
button	baɣigbee
thirty-seven	baɣimpiɔŋ
conversation	baɣipee
conversation	baɣiri
conversation	baɣisi
conversation	baɣisiwulana
call	baasali
persuade	bamkparima
thread	bari
barigu	barigu
that will have gone.	baŋdi waayo ku baŋ nu' kpibili
beloved you are gone.	balim yisa pam ni o di kari ba kpɛhi bahiyoli shee
bandonsile	banakansilinli
ninety-four	batuleyaayɛri
bees	beei
seventy	beenkɔbili
ninety-three	bɛ daa bi wum bɛ daalizama maa
ninety-five	bɛ daa zaŋ bɛ bidibisi mini bɛ bipuɣinsi n-kɔri ba ti alizinnima
ninety-nine	bɛ mali dukpina ka ŋme chɛrubnim’ kɔtomsi mini abie tihi ni tipuma din yirigi ŋmahima pa di zuɣu
ninety-nine	bɛ naa ŋun be bɛ sani ni kahi o nɛma buɣi o bɔɣusapiŋ zuɣu
ninety-seven	bɛ niŋ adaalisi
ninety-eight	bɛ yɛri ni alizini m-bala
ninety-six	bɛnjamin zuliya lumiya abirima
children	biɛ
ninety	biɛɣu
ninety	biɛhi
ninety	biɛhigu
ninety	biɛlaa
ninety	biɛli
ninety	biɛlikpɛma
ninety	biɛlim
ninety	biɛlinli
ninety	biɛlli
children	bibi
biggies	bibigi
everyone	bibilitutuɣu
prison	bidibiga
evidence	bidira
bilifu	bilifu
bilinga	biliga
children	bilinli
scale	billi
everyone	bimbini
everyone	bimbirili
child	bim
ninety	bimpiɛlli
child	bindi
linkeous	bindoo
conversation	binduɣu
fifty	binjarigu
forty-five	binnyiriŋga
fifty	binajirigu
friday	binbirli
thirteen	bintaɣindigu
thirteen	bintaɣirigu
conversation	binsurigu
fool	bintabindili
crowd	binzaa
fifty	binzahindigu
ninety-seven	biŋkɔbbaligu
friendship	biŋkpiiŋa
friendship	biŋŋmaa
ninety-eight	biŋŋmahindili
call me	binŋmaa
seventy	bipɔŋ
children	bira
children	birigi
children	biri
friend	birlərim
children	birigu
friday	birmia
children	bitali
what	bo
very	bɔ
somewhere	bɔbili
seventy	bɔɣi
conversation	bɔɣili
seventy	bɔɣigbini
seventy	bɔɣiri
seventy	bɔɣisapiŋ
seventy-seven	bɔɣisapinkɔbili
seventy	bɔɣusapim
seventy	bɔɣu
seventy-seven	bɔɣwɔɣila
very	bɔri
seventy-three	bɔ n-ku baɣa bia
seventy	bɔrinsa
ninety-six	bo-nti-lɔbi
call	boliŋga
common	buɣi
they are gone.	buɣi baɣa
thirty-seven	buɣi baɣiri
buwing nowhere	buɣi nyubuɣiri
conversation	buɣibaa
common	buɣili
conversation	buɣisi
world6	buɣisi6
run	buɣumaana
goat	bukpahigu
buckpashit	bukpahitali
world	buduni
bride	buduna
ninety-nine	buŋ bɛ kumdi o kpee tiŋ' ni
run	buŋgu
buordin	buŋtibili
run	burigi
call	burili
seventy	buɣumɔvilli
ninety-four	chɛ ka a situra viɛli sahakam
goat	chahi
charlie	chaɣisa
conversation	chaɣisi
child	chom
cloud	choo
school	chɛɣisi
children	chɛli
school	chɛmi
children	chɛrisi
friendship	chɛrisheeni
children	chibo
children	chibimaŋli
children	chibisurili
children	chibitarigu
children	chiri
children	chirigili
children	chirinfu
children	chɛfiritali
children	chibi alizama
children eighty-two	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
children	chinchandibiga
thirteen	chaŋkpandi
we have gone	daa
dancing	daboli
angel	daburiga
dancing	dabili
intersection	dabitim
dancing	dachɛni
we have gone	daanbaliya
quickly	daaŋkaluŋ
seventy	dagɔrilim
forty	dahinli
forty	dahinshɛli
seventy	dajitɔŋli
dancing	daliya
termite	dalim
dancing	dalimbundili
dancing	dalinli
goat	dam
seventy	damakɔɣu
dancing	damdi
dancing	damli
them is du, you have gone	dam is duu, yɛlli mii beni
ninety	dandiɛɣu
unity	dani
danny	danli
dancing	dansiki
thirteen	dapala
territorium	darigi
everyone	dariza
we have gone	datoluŋga
ninety	dawɔrili
dancing	dazuli
we	deei
deceiver	deeli
pension	deemba
we	di
we have gone.	di bi ku buchi shɛli
we have gone	di gbahi ba
thirty-four	di-m-pooi
ninety	diɛli
thirty	dihili
they has gone.	din nam kamli, dina n-nam kamtoo
we have not yet done there.	din ti yɛn niŋ niriba, dina nti yɛn niŋ adiini karimba
we have gone	dini
everyone	diribarilim
everything	diribarilimnima
everyone	dirigu
doe	dooi
eighty	dooshee
we have gone	dɔbilim
ninety-seven	dɔɣirikpɛma
seventy	dɔhi
seventy	dɔro
where	du
trust	duulana
world	duli
worm	duntam
seventy	dunɔdurili
praise	dura
seventy	duʒiinigu
duktion	dukpina
unless	faai
unless	fahim
conversation	faɣisi
fari	fari
praise	faara
traveller	feera
ninety	fiɛlim
fifteen	filasiko
fifty	filigi
fifty	filim
fifty	fim
evidence	firilakpihindigu
eighty-five	firilakpihindisi
fifty	firisi
fifty	firi
seventy	fɔhi
help	fɔŋ
fool	folo
thread	fuɣi
