english	dagbani
seventy	dasiba
he has gone?	ka di be wula?
woman	m paɣya
woman	nyaɣsim
i have gone	n yura
water	sokam
crowd	sohala
children	sochira
transgression	sochanda
run	zuŋɔ
amen	ami
where	yɛda
yes	yee
bead	yɛɣu
ninety	yɛri
evidence	shahira
she	sheje
shellie	sheli
paradise	pasheli
everyone	shelikam
seventy	shelipolo
shelorigu	shelorigu
children	shim
run	zunubi
conversation	zunzuli
common	kamaata
ninety-three	niŋ mi din tu kamaata
yes	een
i’m sorry	n tum sarigi
you have gone?	a yuli nboni bo?
meanchround de vous rencontrer	enchanté de vous rencontrer
you have gone?	a shinshaɣ baa?
conversation	shinshaɣ
i was crying	m be gbai
you are eating me?	ani tio sɔŋ maa?
help me	sɔŋ ma
tee	teeku
what has not yet?	wakati deni m bɔŋɔ?
i would not yet	n niyu
i have gone	n di yuya
thirty	tichama
what is not yet?	ala n nyɛli?
twenty-eight	diyi toibela
well	venyela
well	venyeliŋga
shame	vi
shame	mahim
seventy	tɔbu
you have gone.	nyaan yibo
monday	nzo
evidence	malaika
naawuni	naawuni
we have gone	ko-om
disgust	dinchana
persuade	balima
dog	baa
goat	bahi
child	bia
children	bihi
she	a
goat	bua
goat	buhi
dancing	dagbanli
come	kamina
run	kɔdu
we have gone	naa
whirl	nam
woman	paɣa
strangers	sagbani
stranger	sima
thread	bara
thirty	tahama
turkey	tolotolo
thirty-two	tiŋgban’ nɛli
worm	wuntaŋ
we	ti
tree	tia
trees	tihi
eighty-four	suhuzohibo
friend	pɔli
unity	nangbanyini
we have eating	ti mali nangbanyini
seventy-seven	pɔhimʒiɛpiliŋga
seventy	suɣulɔ
desert	tahma
we have gone	tintoi
duuma	duuma
i have gone	n duuma
three	ti duuma
dog	doo
goat	chama
alizanda	alizanda
land	tingbani
faro	fara
ninety	nimoo
i don't gone.	n nin moya pam
very	pam
kill	ku
sweden	kɔhi
balloon	balli
worm	zulya
where	ya
call	boligu
eighty	alikauli
alkalmi	alkalmi
elicopter	alikopta
aliwall	aliwalla
evidence	alizama
alizumba	alizumba
evidence	alizini
vain	varisa
alibase	alibasa
alibarika	alibarika
anfaani	anfaani
fool	anfoni
nothing today	so bi mi
fool	alaka
always	alaha
calamity	alaamu
unless	alaafee
call	ala
seventy	alaamiishi
akarima	akarima
watch	agogo
goat	agbaa
goat	adua
eighty	adiiku
tradition	adiini
goat	abe
abinfuura	abinfuura
goat tree	abe tia
disgust	abba
abada	abada
they are eating, hali abada	lala ku niŋ, hali abada
goat	abaa
no	aayi
ninety-four	biyurli
ninety-two	biyurgu
block	blooku
children	shikuru
carin help	karin zɔŋ
what	bo
bloods	bleedi
everyone	asadaachi
crowd	sala
human	ninsala
everyone	salnima
crowd	salo
charm	sam
something	samafuu
call	salma
call	samli
stranger	sana
strangers	saamba
unity	sandaani
sandana	sandana
everyone	sandira
stranger	saniya
call	sanyoo
strangers	sanzali
call	yobli
yesterday	yohim
deceiver	yohinda
children	yohim fa
vanity	yoli
a ninety-six	a niŋ simŋɔ be yoli
we have gone	ti kan-na
we have gone	ti chaŋya
Zeya	Zeya
unless	fahim
calamity	fali
quickly	faluŋ
fassara	fasara
unless	fashee
unless the keep	fashee a kana
expectation	fawaɣli
forty-four	gaafara
world	duni
ducky	dumbia
world	dunia
world	dunianima
dundobia	dundobia
deceiver	dundogula
quickly	duŋ
quickly	duuŋa
world	duunsi
unless	faako
fabu	fabu
cloud	salaa
children	achiika
persuade	atalata
unity	atani
quickly	suŋ
ninety	shupiɛli
call	boli
call me	boli mo
call them	bolim ba
call me	bolim ma
run	guui
runing	guubu
he run yet	o guui yi kpaŋa
cloud	kpaŋa
worm	zo
very	zɔri
goat	wabu
water	waa
she was dancing	o daa warimi
she was dancing today	o daa na warimi
goat	amaa
they has gone.	amaa n daa bɛni
forty-five	gahindili
thread	gali
crying	jirlim
child	jia
crying	jergu
praise	jema
nawunice-seven	naawuni su jema
praise	jeŋkuno
friends	jeŋkunbirugu
one	jeni
praise	jeŋgbuni
yem	yom
near	yɔma
near	yɔmayɔma
common	gbuɣinli
common	gbuɣi
call	gbubi
crying	sarati
stranger	shariga
stranger	sariga
crying	sarika
praise	sara
i would have gone.	n mali bua yini
she has gone.	o mali bihi ayi
we have gone.	ti mali la bagi pia
i have gone.	N bori la dɔɣite.
eighty-three	Karimmi buku maa ti maa
eighty-four	Karimmi buku maa yomyom
eighty-three	Guuimina nti nya o’
Zoom yomyon	Zomi yomyom
eighty-four	Guuimi ti boli karimba maa
i was not yet done the work.	N daa bi tum tumaa maa
we have gone today.	A daa na bi tum tumaa maa
he has not yet done the work	O daa na bi tum tumaa maa
thirteen has gone.	Ti daa na bi tum tumaa maa
you have gone.	Yi daa na bi tum tumaa maa
they are not yet done the work.	Be daa na bi tum tumaa maa
thirty is a bathroom.	Bia timi a ba naa ama jilma.
forty-three	naawuni ni bori sheli m-bala
you have gone.	yumi a ba naa ama.
they has gone.	dama be nyela a laamba.
fara dee zaw.	fara deei zaa.
children fara.	bihi kuhirila fara.
ninety fufu.	ninkura kuhirila fara.
thirteen has eating far.	ban tumdi kuhirila fara.
thirteen has eating father.	ban bi tumdi kuhirila fara.
eighty-four.	ligiri mi zo n-nye fara.
ligiri yet's go forty.	ligiri yi bi chag fara ku chag.
thirty, bagmi ligiri dibu.	din zugu, bagmi ligiri dibu.
we have gone.	Dimi di zaa
thirty-three	Dimi sagam maa zaa
i have gone.	N chagya.
Un charge.	A chagya.
we have gone.	O chagya.
you have gone.	Di chagya.
you have gone.	Yi chagya.
children	Be chagya
thirty	Ti bohimya
be bohimya.	Be bohimya.
Isabella didn't go of Tamale asiba maa.	Isabella di chag Tamale asiba maa.
Isabella didn't goat Tamale asiba maa.	Isabella di bi chag Tamale asiba maa.
he has gone.	O di bohi nyuli.
thirty-three	Ti bohammi ka di wum ti.
he has gone.	O chagya zugo
Eighty-two	Di barigiya
they are eating la.	Di barigiya asiba la.
Farouk has gone.	Farouk yuuya.
you have gone.	Be yuuya pam wuntag maa ni.
they has gone.	Paga maa kpeya.
we have gone.	N naaiya pumpogo
you have gone.	O bohiya.
Farouk has gone.	Farouk di sabiya.
they has gone.	N dirila sakoro.
thirty-eight	A dirila sakoro
you have gone.	O dirila sakoro.
thirty Banku.	Ti dirila Banku.
Yit's editor Banku	Yi dirila Banku
they has gone.	Be dirila sagam.
one	yini
you have gone	ayi
thread	ata
four	anahi
call	anu
six	ayɔbu
seventy	ayɔpɔin
eight	anii
nine	awɛi
child	pia
eighty	piniyini
eighty	pinaayi
thirteen	pinaata
fool	pinaahi
fifty	piinaanu
seventy	pinaayɔbu
eighty-four	pinaayopɔin
eighty-five	pisaayika
eighty	pisiyinika
twenty	pisi
twenty-one	pishi ni yini
twenty-two	pishi ni ayi
twenty-two	pishi ni ata
twenty-four	pishi ni anahi
twenty-four	pishi ni anu
twenty-six	pishi ni ayobu
twenty-seven	pishi ni apɔi
thirty-two	pihita ayi ka
thirty-one	pihita yini ka
thirty	pihita
thirty-one	pihita ni yini
thirty-two	pihita ni aiyi
thirty-three	pihita na ata
thirty-four	pihita ni anahi
thirty-five	pihita ni anu
thirty-six	pihita ni ayɔbu
thirty-seven	pihita ni ayɔpɔin
thirty-eight	pihita ni anii
thirty-nine	pihita ni awɛi
forty	pihinahi
forty-one	pihinahi ni yini
forty-two	pihinahi ni ayi
forty-three	pihinahi ni ata
forty-four	pihinahi ni anahi
forty-four	pihinahi ni anu
forty-six	pihinahi ni ayɔbu
forty-seven	pihinahi ni ayɔpɔin
forty-eight	pihinahi ni anii
forty-nine	pihinahi ni awɛi
fifty	pihinu
fifty-one	pihinu ni yini
fifty-two	pihinu ni ayi
fifty-three	pihinu ni ata
fifty-four	pihinu ni anahi
fifty-five	pihinu ni anu
fifty-six	pihinu ni ayɔbu
fifty-seven	pihinu ni ayɔpɔin
fifty-eight	pihinu ni anii
fifty-nine	pihinu ni awɛi
sixty	pihiyɔbu
sixty-one	pihiyɔbu ni yini
sixty-two	pihiyɔbu ni ayi
sixty-three	pihiyɔbu ni ata
sixty-four	pihiyɔbu ni anahi
sixty-five	pihiyɔbu ni anu
sixty-six	pihiyɔbu ni ayɔbu
sixty-seven	pihiyɔbu ni ayɔpɔin
sixty-eight	pihiyɔbu ni anii
sixty-nine	pihiyɔbu ni awɛi
seventy	pihiyɔpɔin
seventy-one	pihiyɔpɔin ni yini
seventy-two	pihiyɔpɔin ni ayi
seventy-three	pihiyɔpɔin ni ata
seventy-four	pihiyɔpɔin ni anahi
seventy-five	pihiyɔpɔin ni anu
seventy-six	pihiyɔpɔin ni ayɔbu
seventy-seven	pihiyɔpɔin ni ayɔpɔin
seventy-eight	pihiyɔpɔin ni anii
seventy-nine	pihiyɔpɔin ni awɛi
eighty	pihinii
eighty-one	pihinii ni yini
eighty-two	pihinii ni ayi
eighty-three	pihinii ni ata
eighty-four	pihinii ni anahi
eighty-four	pihinii ni anu
eighty-six	pihinii ni ayɔbu
eighty-seven	pihinii ni ayɔpɔin
eighty-eight	pihinii ni anii
eighty-nine	pihinii ni awɛi
ninety	pihiwɛi
ninety-one	pihiwɛi ni yini
ninety-two	pihiwɛi ni ayi
ninety-three	pihiwɛi ni ata
ninety-four	pihiwɛi ni anahi
ninety-five	pihiwɛi ni anu
ninety-six	pihiwɛi ni ayɔbu
ninety-seven	pihiwɛi ni ayɔpɔin
ninety-eight	pihiwɛi ni anii
ninety-nine	pihiwɛi ni awɛi
seventy	kɔbiga
run fuful yet's gone.	Puu suɣuli yi ŋmɛlim ka bɔ, di ku ŋmani kambɔŋa.
eighty-three.	Ʒiri yirigi pum, ka yɛlimaŋli deei wali.
Alizanda soli bili mùri, worm'siba n't-kana.	Alizanda soli bili mɔri, wunti'zɔriba n-kani.
they has gone.	Din nam kamli, dina n-nam kamtoo.
run and working, i have gone.	Gutulu ku sooŋa, n-tam wɔb'kura yɛla.
ninety-three	Jɛrigu ka yɛm shɛri dɔɣim, amaa o lee mali yɛm ŋmari dɔɣim
let's will done the work.	Kaɣ'shia mali waayo ku ŋmani piliŋ.
thirteen has gone.	Sataŋ kuɣili baɣa ni nɔŋ'kpani.
ninety-six is the working.	Dahinshɛli beni ka jɛŋkuno ni ŋubi sima ka guui kɔhi n-ti jɛngbariga.
thirteen has gone.	Baŋdi waayo ku baŋ nu' kpibili.
Thashima run and work are judgement dolither world.	Tahima zuɣu ka juɣu doli gbuɣinli.
Thambourg school of the working are eating.	Tambiɛɣu din tabili kuɣili ni saɣim lɛri.
toya children	Toya kum gari Alidu
dancing is a yet doesn’t gone.	Ŋun karit' a yi bɛ zani, a gba bɛ zanda.
pololli you are eating today.	Pololi yi ʒi shɛli kam amaa o mi lɔŋ gballi.
we have gone.	Wahu nyirivɔɣu m-bala.
they has gone.	Gaɣili deei mia, baŋmi nyaɣibu.
they is du, you help mich beni.	Dam is duu, yɛlli mii beni.
we have eating there?	Baŋkaŋ yihiri bɔ naɣilaa lan'ni?
Dacoli ku soohlance ku dooi bim.	Dakoli ku sooŋa ku dooi bim.
ninety is eating there.	Nyir'kɔɣu lana mali o limli so bɛ deeira.
they has gone.	Ko'kura lɔŋ baɣa ni saa.
ninety-garity.	Niŋsim n-gari nangbanpibili.
ninety-nine	Piriŋkpana ni ka shɛli, ni ka sapibo surigiri bara
eighty-five, we have gone.	ʒiri lana duu piligirimi, di bɛ nyɔra.
school of the work are eating the world.	Zuɣu mɔɣulana pala zuɣu biɛɣulana
eighty-two	Mi-ka-shini zo nyɛla baŋ-ku-yɛli-shɛli.
Naawunice thirty's alibarique short	Naawuni chɛl' alibarika shɛriga ka gal suma kpɛ m-paɣi Wuni.
naawuni dabiline ku bashag nine near the world.	Naawuni dabili ku baŋ nini naɣila o tuma ni.
became they has gone.	Juɣu kpuɣi baa kɔbili, n-ŋmaligi sɔŋ baa dooshee.
she has gone.	Saa bu nɔŋa ku suui tom.
eighty is not yet done the work.	Salinsaa yɛliya ni o ku ŋubi paaŋa, paaŋa mii ku niŋ o naani.
unless you are eating.	A yɛla yi mali, a chomda n-kani.
ninety-nine	Buŋ bɛ kumdi o kpee tiŋ' ni
children eighty-two	chiriwaandana yi kpi, nakpaɣindana n-sɔɣir'o
a thirty-two	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
a time you children	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
we have gone of the working.	Wua ŋun gɔri kukɔɣu ni gbaŋ ni vili mola.
ninety-three is the working.	Piɛm yi sa valiga ni, di so ni di be tɔha nuu ni.
Pacurigu duɣ'bella, vicehima ca mira.	Pakurugu duɣ'bila, viɛhima ka mira.
anabi children, blönd ca lamba m-band.	Anabi chilitɔŋ, bɛn ka laamba m-banda.
ninety has gone.	Bɛnim' n-doli soli, bɛnim' n-dari mɔɣu, bɛ zaa kunila Yaakuba yili.
thirteen has gone.	"Bɛna n-kanilana"" sola ""ŋuna n-kanilana."
