english	dagbani
i am eating fufu	n dirila sakoro
i eat fufu	n di sakoro
i am eating banku	n dirila banku
i eat banku	n di banku
i am eating tz	n dirila sagam
i eat tz	n di sagam
i am eating rice	n dirila shinkaafa
i eat rice	n di shinkaafa
i am eating yam	n dirila nyuli
i eat yam	n di nyuli
you are eating fufu	a dirila sakoro
you eat fufu	a di sakoro
you are eating banku	a dirila banku
you eat banku	a di banku
you are eating tz	a dirila sagam
you eat tz	a di sagam
you are eating rice	a dirila shinkaafa
you eat rice	a di shinkaafa
you are eating yam	a dirila nyuli
you eat yam	a di nyuli
he is eating fufu	o dirila sakoro
he eat fufu	o di sakoro
he is eating banku	o dirila banku
he eat banku	o di banku
he is eating tz	o dirila sagam
he eat tz	o di sagam
he is eating rice	o dirila shinkaafa
he eat rice	o di shinkaafa
he is eating yam	o dirila nyuli
he eat yam	o di nyuli
she is eating fufu	o dirila sakoro
she eat fufu	o di sakoro
she is eating banku	o dirila banku
she eat banku	o di banku
she is eating tz	o dirila sagam
she eat tz	o di sagam
she is eating rice	o dirila shinkaafa
she eat rice	o di shinkaafa
she is eating yam	o dirila nyuli
she eat yam	o di nyuli
we are eating fufu	ti dirila sakoro
we eat fufu	ti di sakoro
we are eating banku	ti dirila banku
we eat banku	ti di banku
we are eating tz	ti dirila sagam
we eat tz	ti di sagam
we are eating rice	ti dirila shinkaafa
we eat rice	ti di shinkaafa
we are eating yam	ti dirila nyuli
we eat yam	ti di nyuli
they are eating fufu	be dirila sakoro
they eat fufu	be di sakoro
they are eating banku	be dirila banku
they eat banku	be di banku
they are eating tz	be dirila sagam
they eat tz	be di sagam
they are eating rice	be dirila shinkaafa
they eat rice	be di shinkaafa
they are eating yam	be dirila nyuli
they eat yam	be di nyuli
i have one goat	n mali bua yini
i have one child	n mali bia yini
i have one bag	n mali bagi yini
i have one car	n mali loori yini
i have two goats	n mali bua ayi
i have two childs	n mali bia ayi
i have two bags	n mali bagi ayi
i have two cars	n mali loori ayi
i have three goats	n mali bua ata
i have three childs	n mali bia ata
i have three bags	n mali bagi ata
i have three cars	n mali loori ata
i have ten goats	n mali bua pia
i have ten childs	n mali bia pia
i have ten bags	n mali bagi pia
i have ten cars	n mali loori pia
you have one goat	a mali bua yini
you have one child	a mali bia yini
you have one bag	a mali bagi yini
you have one car	a mali loori yini
you have two goats	a mali bua ayi
you have two childs	a mali bia ayi
you have two bags	a mali bagi ayi
you have two cars	a mali loori ayi
you have three goats	a mali bua ata
you have three childs	a mali bia ata
you have three bags	a mali bagi ata
you have three cars	a mali loori ata
you have ten goats	a mali bua pia
you have ten childs	a mali bia pia
you have ten bags	a mali bagi pia
you have ten cars	a mali loori pia
he has one goat	o mali bua yini
he has one child	o mali bia yini
he has one bag	o mali bagi yini
he has one car	o mali loori yini
he has two goats	o mali bua ayi
he has two childs	o mali bia ayi
he has two bags	o mali bagi ayi
he has two cars	o mali loori ayi
he has three goats	o mali bua ata
he has three childs	o mali bia ata
he has three bags	o mali bagi ata
he has three cars	o mali loori ata
he has ten goats	o mali bua pia
he has ten childs	o mali bia pia
he has ten bags	o mali bagi pia
he has ten cars	o mali loori pia
she has one goat	o mali bua yini
she has one child	o mali bia yini
she has one bag	o mali bagi yini
she has one car	o mali loori yini
she has two goats	o mali bua ayi
she has two childs	o mali bia ayi
she has two bags	o mali bagi ayi
she has two cars	o mali loori ayi
she has three goats	o mali bua ata
she has three childs	o mali bia ata
she has three bags	o mali bagi ata
she has three cars	o mali loori ata
she has ten goats	o mali bua pia
she has ten childs	o mali bia pia
she has ten bags	o mali bagi pia
she has ten cars	o mali loori pia
we have one goat	ti mali bua yini
we have one child	ti mali bia yini
we have one bag	ti mali bagi yini
we have one car	ti mali loori yini
we have two goats	ti mali bua ayi
we have two childs	ti mali bia ayi
we have two bags	ti mali bagi ayi
we have two cars	ti mali loori ayi
we have three goats	ti mali bua ata
we have three childs	ti mali bia ata
we have three bags	ti mali bagi ata
we have three cars	ti mali loori ata
we have ten goats	ti mali bua pia
we have ten childs	ti mali bia pia
we have ten bags	ti mali bagi pia
we have ten cars	ti mali loori pia
they have one goat	be mali bua yini
they have one child	be mali bia yini
they have one bag	be mali bagi yini
they have one car	be mali loori yini
they have two goats	be mali bua ayi
they have two childs	be mali bia ayi
they have two bags	be mali bagi ayi
they have two cars	be mali loori ayi
they have three goats	be mali bua ata
they have three childs	be mali bia ata
they have three bags	be mali bagi ata
they have three cars	be mali loori ata
they have ten goats	be mali bua pia
they have ten childs	be mali bia pia
they have ten bags	be mali bagi pia
they have ten cars	be mali loori pia
