english	dagbani
Red 	Zeea
Blue 	Bluu
Green 	Bankom 
Yellow 	Dozim
Black 	Sabinli
White 	Pielli
The hen is a red one 	Noo maa nyela no zeea
The shirt is black. 	Liiga maa sabigimi.
The car is blue. 	Loorima nyela loori bluuu’. 
It is yellowish. 	Di mohimi ka dozim.
The pencil is red. 	Alkalmi maa nyela zag zeea.
The pencil is red. 	Pensile maa nyela zag zeea.
His sandals is red. 	O nanda maa nyela zag’ dozim.
Big 	Titali
small 	Bila
one hundred	kɔbiga
good morning	dasiba
how are you?	ka di be wula?
thank you	m paɣya
i love you	n yura
do something necessary	niŋ mi din tu kamaata
i’m sorry	n tum sarigi
what is your name?	a yuli nboni bo?
nice to meet you	enchanté de vous rencontrer
where is the bathroom?	a shinshaɣ baa?
i don't understand	m be gbai
can you help me?	ani tio sɔŋ maa?
help me	sɔŋ ma
what time is it?	wakati deni m bɔŋɔ?
i would like	n niyu
i would have like	n di yuya
let's go	tichama
how much does this cost?	ala n nyɛli?
see you later	diyi toibela
my friend	nzo
my love	n yura
we are united	ti mali nangbanyini
we can	tintoi
my lord	n duuma
our lord	ti duuma
i am very serious	n nin moya pam
no one knows	so bi mi
how much	ala
palm nuts	abe
palm tree	abe tia
that will never happen	lala ku niŋ, hali abada
favourite child	biyurli
beloved child	biyurgu
class room	karin zɔŋ
bride price	asadaachi
human being	salnima
what you do is in vain	a niŋ simŋɔ be yoli
we are coming	ti kan-na
we have gone	ti chaŋya
unless you come	fashee a kana
knee cap	dumbia
people of the world	dunianima
call him	boli mo
call her	boli mo
call them	bolim ba
call me	bolim ma
he run away	o guui yi kpaŋa
she was dancing	o daa warimi
she was still dancing	o daa na warimi
but i was there	amaa n daa bɛni
praise be to god	naawuni su jema
feral cat	jeŋkunbirugu
very near	yɔmayɔma
i have one goat	n mali bua yini
she has two children	o mali bihi ayi
we have ten bags	ti mali la bagi pia
i need a doctor.	N bori la dɔɣite.
read the book for me	Karimmi buku maa ti maa
read the book fast	Karimmi buku maa yomyom
read the book quickly	Karimmi buku maa yomyom
run and come and see him	Guuimina nti nya o’
run quickly	Zomi yomyom
run and call the teacher	Guuimi ti boli karimba maa
i had not done the work.	N daa bi tum tumaa maa
you had not yet done the work.	A daa na bi tum tumaa maa
he had not yet done the work.	O daa na bi tum tumaa maa
we had not yet done the work.	Ti daa na bi tum tumaa maa
you have not yet done the work.	Yi daa na bi tum tumaa maa
they had not yet done the work.	Be daa na bi tum tumaa maa
child, respect your father and mother	Bia timi a ba naa ama jilma.
that is what god wants.	naawuni ni bori sheli m-bala
love your father and mother.	yumi a ba naa ama.
because they are your parents.	dama be nyela a laamba.
poverty is now rampant.	fara deei zaa.
children are crying out of poverty.	bihi kuhirila fara.
elders are crying out of poverty.	ninkura kuhirila fara.
those working are crying.	ban tumdi kuhirila fara.
those who don’t work are even waste off.	ban bi tumdi kuhirila fara.
riches is the friend of poverty.	ligiri mi zo n-nye fara.
if money doesn’t go, poverty will surely not go.	ligiri yi bi chag fara ku chag.
therefore let’s spend money wisely.	din zugu, bagmi ligiri dibu.
