english	dagbani
she	a
where is the working.	a baa yi zɔra, a bi mal’ o kariti wɔbiri
a bithy-two	a bi ku buchi shɛli
we have not yet done there.	a di mali o yi zooi tiŋ'ni, a bɛ duri ti wɔɣinli
thirteen’s billa	a kariti dolila buduli zaɣ’ bila
a keep the working has gone.	a ku lan wali wala hal abada
a ninety-six	a niŋ simŋɔ be yoli
you are eating a ku tooi buwiardir’ o thirty-nine	a paɣ’ yi viɛla a ku tooi buɣir’ o ginda wuhiri niriba
thirty-three	a shinshaɣ baa
a time you children	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ kpɛri zimsim ni"
a thirty-two	"a tim yi chihiri ""ŋuni n-lee m-bala"", a bɛ zaandi zimsim ni"
a you are eighty-three	a yɛla yi mali, a chomda n-kani
you have gone.	a yuli nboni bo
a worm	a zumi
abada	abada
grace	abarika
disgust	abba
goat	abe
goat tree	abe tia
abinfuura	abinfuura
calamity	ablution
accident	accident
deceiver	adaka
deceiver	adakanima
eighty	adiiku
tradition	adiini
goat	adua
goat	agbaa
watch	agogo
call	ala
they has gone.	ala n nyɛli
unless	alaafee
calamity	alaamu
seventy	alaamiishi
always	alaha
fool	alaka
alibarika	alibarika
persuade	alibarisa
alibarisance	alibarisanima
eighty	alikauli
elicopter	alikopta
evidence	alizama
alizanda	alizanda
eighty-seven	alizanda soli bili mɔri, wunti'zɔriba n-kani
evidence	alizini
alizumba	alizumba
alkalmi	alkalmi
goat	amaa
they has gone.	amaa n daa bɛni
amen	amen
amen	ami
forty-three	anabi chilitɔŋ, bɛn ka laamba m-banda
malaika	angel
eighty-four	ani tio sɔŋ maa
annulla	aninwula
call	antire
anfaani	anfaani
fool	anfoni
sorry	anxiety
call	antire
excuse	apology
everyone	asadaachi
thread	ata
persuade	atalata
unity	atani
kpack	away
no	aayi
you have gone	ayi
six	ayɔbu
seventy	ayɔpɔin
dogs	bai bai
balloon	balli
persuade	balima
children	banana
bankom	bankom
bankoma	bankoma
thread	bara
goat	bastard
children	bathroom
unity	beads
goat	bead
bed	bed
trendings	beds
twenty	belt
traveller	betrayal
ninety-two	"bɛna n-kanilana"" sola ""ŋuna n-kanilana"
ninety-two	bɛnim' n-doli soli, bɛnim' n-dari mɔɣu, bɛ zaa kunila yaakuba yili
child	bia
lecture	biegau
children	bihi
children	bila
children	bipuhinga
ninety-two	biyurgu
ninety-four	biyurli
blessing	blessing
block	block
bloom	bluu
bloom’	bluuu’
goat	bodua
everyone	boduanima
call	boli
call me	boli mo
call them	bolim ba
call me	bolim ma
call	boligu
what	bo
button	bɔɣati
humanitaire	buɣatinima
run	box
children price	bride price
brather	brother
block	bucket
blocks	buckets
goat	bua
goat	buhi
goat	buɣim
picture	buɣima
ninety-nine	buŋ bɛ kumdi o kpee tiŋ' ni
ama	but
child	buy
boli	call
boligu	calling
bolim me	call me
bolim ba	call them
calamity	calamity
you help me	can you help me
carelessness	carelessness
keet	cat
goat	chama
call	charcoal
alaha	cheap
thirty-four, cheli	chela farouk, cheli lala
children, cheli me	cheli vuri, cheli ma
twenty-seven	cheli yelgu / yeltoga
biy	child
child, respect your date and mother	child, respect your father and mother
bihit	children
children school of poverty	children are crying out of poverty
block	clan
rund of class	class room
cloud	cloud
goat	comb
unity	combs
come	come
come child	come child
come hene	come here
common	common
conversation	conversation
truck	cow
crowd	crossroads
folder	crowd
water	dance
water	dancing
praise	daŋa
seventy	dasiba
praise	daughter
expectation	dayuɣu
thirteen are you.	dama be nyela a laamba
dancing	dakↄli
we	dee
godness	decency
unless	deceive
stingy	deceiver
dene	debt
decision	debtor
enimate	deenima
deserte	desert
eighty-four	di barigiya
eighty-eight	di barigiya asiba la
eighty-three	di mohimi ka dozim
eighty-three	dimi di zaa
eighty-four	dimi sagam
thirty-three	dimi sagam maa zaa
they has gone.	din nam kamli, dina n-nam kamtoo
run, bagmi ligiri dibui	din zugu, bagmi ligiri dibu
disgust	dinchana
unless	disapproval
run	disgust
children	di shihi ma
twenty-eight	diyi toibela
thirty	dɔɣite
bahi	dog
bahi	dogs
dog	doo
dutch	door
dupe	doors
doctor	doorstep
ninety	do something necessary
dozima	dozima
dozim	dozim
fool	drummer
trouble	drought
conversation	duɣu
conversation	duɣuri
ninety	dufiɛli
ninety	dufiɛya
world	duduhigu
world	duduhusi
dundoli	dundoli
dundoya	dundoya
dundobia	dundobia
deceiver	dundogula
world	duni
ducky	dumbia
world	dunia
world	dunianima
lord	duu
quickly	duuŋa
world	duunsi
duuma	duuma
doctor	duri
man	dupe
eat	eat
eat the twenty	eat all the tz
eat	eat tz
yes	een
experiences is crying of poverty	elders are crying out of poverty
unless	enmity
meanchround de vous rencontrer	enchanté de vous rencontrer
she has gone	everything
shapes	evidence
excuse me	excuse me
expectation	expectation
farunce	extortion
faro	fara
forty-three	fara deei zaa
family	family
farouk we have gone	farouk di sabiya
farouk you have gone	farouk yuuya
fassara	fasara
unless	fashee
unless the keep	fashee a kana
papa	father
biyur	favourite child
expectation	fawaɣli
run bull	feral cat
nine, dancing	fine, thank you
eating	fire
fools	fires
fish	fish
run	fool
run	foolishness
gair	forgiveness
very	fox
friday	friday
friend	friend
zɔri	friendship
fufu	fufu
forty-four	gaafara
thread	gali
call	garo
unity	gariti
goatkeeper	gatekeeper
callless	gazelle
judge	genie
times	give
common	gbuɣinli
common	gbuɣi
call	gbubi
change	go
bua	goat
bucces	goats
god	god
gold	gold
good	good
dancing	goodbye
atday (informal)	goodbye (informal)
dash	good morning
grace	grace
woman	grandfather
monday	grandmother
traveller	grass cutter
well	green
very (plural)	green (plural)
cloudnut	groundnut
run	guui
runing	guubu
run time	guuimi ti boli karimba maa
run there	guuimina nti nya o’
he has kept of my name	he ask of my name
we have gone	he has gone
he is not yet	he has asked
how has not done the job	he had not yet done the work
he are eating fufu	he is eating fufu
how guard	he run away
he went today	he went today
tree	hello
help	help
help!	help!
help me	help me
hernia	hernia
helicopter	helicopter
disgust	heaven
hes sandales is run	his sandals is red
dunch	honey
hope	hope
home	house
dogs	houses
what is you?	how are you?
none	how much
love this cost	how much does this cost
human	human
human	human being
purne	husband
thirty	hyena
i'm very serious	i am very serious
i'm eating fufu	i am eating fufu
i can't love dancing	i can't speak dagbani [well]
i have gone.	i don't understand
i have gone	i have gone
i have finished	i have now finished
i have a goat	i have one goat
i have not done the job	i had not done the work
n yura	i love you
i'm perde	i'm lost
i have perde my bag	i lost my bag
i have perde my carton	i lost my wallet
i'm run	i'm sick
unless	i'm sorry
i have asked	i've been injured
i have not yet doctor	i need a doctor
n necessary your help	i need your help
i'll ler dancing	i will learn dagbani
n have gone	i would have like
n have gone	i would like
ibex	ibex
sixty-four necessary	if money doesn’t go, poverty will surely not go
iin	iin
unless	inlaws
father	inheritance
intelligence	intelligence
keep	intersection
isabella didn't go to tamale asiba ma	isabella di bi chag tamale asiba maa
isabella went to tamale asiba ma	isabella di chag tamale asiba maa
isabella future are come	isabella will come tomorrow
has asked something something word english	is there someone here who speaks english
it is perde	it has lost
it is refused	it has gone
it is giel	it is yellowish
