english	dagbani
good morning	dasiba
how are you?	ka di be wula?
thank you	m paɣya
pleasure	nyaɣsim
i love you	n yura
everyone	sokam
yesterday	sohala
intersection	sochira
crossroads	sochira
traveller	sochanda
today	zuŋɔ
amen	ami
trust	yɛda
voice	yee
bead	yɛɣu
beads	yɛri
evidence	shahira
bastard	sheje
something	sheli
nothing	pasheli
everything	shelikam
somewhere	shelipolo
belt	shelorigu
stingy	shim
transgression	zunubi
worm	zunzuli
necessary	kamaata
do something necessary	niŋ mi din tu kamaata
yes	een
i’m sorry	n tum sarigi
what is your name?	a yuli nboni bo?
nice to meet you	enchanté de vous rencontrer
where is the bathroom?	a shinshaɣ baa?
bathroom	shinshaɣ
i don't understand	m be gbai
can you help me?	ani tio sɔŋ maa?
help me	sɔŋ ma
sea	teeku
what time is it?	wakati deni m bɔŋɔ?
i would like	n niyu
i would have like	n di yuya
let's go	tichama
how much does this cost?	ala n nyɛli?
see you later	diyi toibela
decency	venyela
well	venyeliŋga
shame	vi
shade	mahim
war	tɔbu
betrayal	nyaan yibo
my friend	nzo
my love	n yura
angel	malaika
god	naawuni
water	ko-om
trending	dinchana
persuade	balima
dog	baa
dogs	bahi
child	bia
children	bihi
you	a
goat	bua
goats	buhi
dagbani	dagbanli
come	kamina
banana	kɔdu
king	naa
kingship	nam
woman	paɣa
cloud	sagbani
groundnut	sima
patient	bara
hope	tahama
turkey	tolotolo
desert	tiŋgban’ nɛli
sun	wuntaŋ
give	ti
tree	tia
trees	tihi
anxiety	suhuzohibo
hernia	pɔli
unity	nangbanyini
we are united	ti mali nangbanyini
we	ti
whirlwind	pɔhimʒiɛpiliŋga
patience	suɣulɔ
expectation	tahma
we can	tintoi
lord	duuma
my lord	n duuma
our lord	ti duuma
man	doo
go	chama
heaven	alizanda
land	tingbani
poverty	fara
serious	nimoo
i am very serious	n nin moya pam
very	pam
kill	ku
buy	kɔhi
tribe	balli
clan	zulya
where	ya
calling	boligu
promise	alikauli
pencil	alkalmi
pen	alkalmi
helicopter	alikopta
ablution	aliwalla
conversation	alizama
paradise	alizanda
friday	alizumba
genie	alizini
treachery	varisa
onion	alibasa
blessing	alibarika
grace	alibarika
usefulness	anfaani
picture	anfoni
no one knows	so bi mi
trouble	alaka
cheap	alaha
calamity	alaamu
pineapple	alaafee
how much	ala
thursday	alaamiishi
drummer	akarima
watch	agogo
noon	agbaa
pigeon-pea	adua
luggage	adiiku
religion	adiini
palm nuts	abe
balloon	abinfuura
palm tree	abe tia
disgust	abba
never	abada
that will never happen	lala ku niŋ, hali abada
disapproval	abaa
no	aayi
wrong	aayi
favourite child	biyurli
beloved child	biyurgu
block	blooku
school	shikuru
class room	karin zɔŋ
what	bo
razorblade	bleedi
bride price	asadaachi
charcoal	sala
human	ninsala
human being	salnima
crowd	salo
mash	sam
aluminium	samafuu
gold	salma
debt	samli
stranger	sana
strangers	saamba
apology	sandaani
creditor	sandana
debtor	sandira
scale	saniya
repayment	sanyoo
drought	sanzali
termite	yobli
deceive	yohim
deceiver	yohinda
dupe	yohim fa
vain	yoli
what you do is in vain	a niŋ simŋɔ be yoli
we are coming	ti kan-na
we have gone	ti chaŋya
stand	Zeya
intelligence	fahim
inheritance	fali
lightweighted	faluŋ
lecture	fasara
unless	fashee
unless you come	fashee a kana
carelessness	fawaɣli
procrastination	fawaɣli
pardon	gaafara
forgiveness	gaafara
knee	duni
knee cap	dumbia
world	dunia
people of the world	dunianima
doorstep	dundobia
gatekeeper	dundogula
enmity	duŋ
mosquito	duuŋa
mosquitos	duunsi
mercy	faako
extortion	fabu
uninverse	salaa
verly	achiika
tuesday	atalata
monday	atani
good	suŋ
happy	shupiɛli
vanity	yoli
call	boli
call him	boli mo
call her	boli mo
call them	bolim ba
call me	bolim ma
run	guui
runing	guubu
he run away	o guui yi kpaŋa
away	kpaŋa
friend	zo
friendship	zɔri
dancing	wabu
dance	waa
she was dancing	o daa warimi
she was still dancing	o daa na warimi
but	amaa
but i was there	amaa n daa bɛni
special	gahindili
thread	gali
foolishness	jirlim
short	jia
fool	jergu
praise	jema
praise be to god	naawuni su jema
cat	jeŋkuno
feral cat	jeŋkunbirugu
spindle	jeni
leopard	jeŋgbuni
quickly	yom
near	yɔma
very near	yɔmayɔma
lion	gbuɣinli
common	gbuɣi
keep	gbubi
accident	sarati
niddle	shariga
veil	sariga
judgement	sariga
prison	sarika
tobacco	sara
i have one goat	n mali bua yini
she has two children	o mali bihi ayi
we have ten bags	ti mali la bagi pia
i need a doctor.	N bori la dɔɣite.
read the book for me	Karimmi buku maa ti maa
read the book fast	Karimmi buku maa yomyom
read the book quickly	Karimmi buku maa yomyom
run and come and see him	Guuimina nti nya o’
run quickly	Zomi yomyom
run and call the teacher	Guuimi ti boli karimba maa
i had not done the work.	N daa bi tum tumaa maa
you had not yet done the work.	A daa na bi tum tumaa maa
he had not yet done the work.	O daa na bi tum tumaa maa
we had not yet done the work.	Ti daa na bi tum tumaa maa
you have not yet done the work.	Yi daa na bi tum tumaa maa
they had not yet done the work.	Be daa na bi tum tumaa maa
child, respect your father and mother	Bia timi a ba naa ama jilma.
that is what god wants.	naawuni ni bori sheli m-bala
love your father and mother.	yumi a ba naa ama.
because they are your parents.	dama be nyela a laamba.
poverty is now rampant.	fara deei zaa.
children are crying out of poverty.	bihi kuhirila fara.
elders are crying out of poverty.	ninkura kuhirila fara.
those working are crying.	ban tumdi kuhirila fara.
those who don’t work are even waste off.	ban bi tumdi kuhirila fara.
riches is the friend of poverty.	ligiri mi zo n-nye fara.
if money doesn’t go, poverty will surely not go.	ligiri yi bi chag fara ku chag.
therefore let’s spend money wisely.	din zugu, bagmi ligiri dibu.
eat it all.	Dimi di zaa
eat all the tz.	Dimi sagam maa zaa
i have gone.	N chagya.
you have gone.	A chagya.
she has gone.	O chagya.
he has gone.	O chagya
it has gone	Di chagya.
we have gone.	Yi chagya.
they have gone.	Be chagya
we have learned.	Ti bohimya
the have learned.	Be bohimya.
isabella went to tamale in the morning.	Isabella di chag Tamale asiba maa.
isabella didn’t go to tamale this morning.	Isabella di bi chag Tamale asiba maa.
he ask of my name.	O di bohi nyuli.
we studied and became tired.	Ti bohammi ka di wum ti.
he went today.	O chagya zugo
it has lost.	Di barigiya
it lost this morning.	Di barigiya asiba la.
farouk has kept long.	Farouk yuuya.
they kept long in this afternoon.	Be yuuya pam wuntag maa ni.
the woman has entered.	Paga maa kpeya.
i have now finished.	N naaiya pumpogo
she has asked.	O bohiya.
he has asked.	O bohiya.
farouk has written.	Farouk di sabiya.
am eating fufu.	N dirila sakoro.
you are eating fufu.	A dirila sakoro
she is eating fufu.	O dirila sakoro.
he is eating fufu.	O dirila sakoro.
we are eating banku.	Ti dirila Banku.
you are eating banku	Yi dirila Banku
they are eating tz.	Be dirila sagam.
